read client,2019-04-18 22:13:27.723
read client,2019-04-18 22:13:27.739
read client,2019-04-18 22:13:27.739
read client,2019-04-18 22:13:27.754
read client,2019-04-18 22:13:27.754
read client,2019-04-18 22:13:27.754
read client,2019-04-18 22:13:27.77
read client,2019-04-18 22:13:27.77
writemovie,2019-04-18 22:13:27.77
writemovie,2019-04-18 22:13:27.786
writemovie,2019-04-18 22:13:27.786
writemovie,2019-04-18 22:13:27.786
writemovie,2019-04-18 22:13:27.801
writemovie,2019-04-18 22:13:27.801
writemovie,2019-04-18 22:13:27.801
writemovie,2019-04-18 22:13:27.817
read client,2019-04-18 22:25:47.788
read client,2019-04-18 22:25:47.835
read client,2019-04-18 22:25:47.85
read client,2019-04-18 22:25:47.85
read client,2019-04-18 22:25:47.85
read client,2019-04-18 22:25:47.866
read client,2019-04-18 22:25:47.866
read client,2019-04-18 22:25:47.866
writemovie,2019-04-18 22:25:47.881
writemovie,2019-04-18 22:25:47.881
writemovie,2019-04-18 22:25:47.881
writemovie,2019-04-18 22:25:47.96
writemovie,2019-04-18 22:25:47.96
writemovie,2019-04-18 22:25:47.975
writemovie,2019-04-18 22:25:47.975
writemovie,2019-04-18 22:25:47.975
read client,2019-04-18 22:27:59.954
read client,2019-04-18 22:27:59.986
read client,2019-04-18 22:28:00.032
read client,2019-04-18 22:28:00.048
read client,2019-04-18 22:28:00.048
read client,2019-04-18 22:28:00.048
read client,2019-04-18 22:28:00.048
read client,2019-04-18 22:28:00.064
writemovie,2019-04-18 22:28:00.064
writemovie,2019-04-18 22:28:00.079
writemovie,2019-04-18 22:28:00.079
writemovie,2019-04-18 22:28:00.079
writemovie,2019-04-18 22:28:00.095
writemovie,2019-04-18 22:28:00.095
writemovie,2019-04-18 22:28:00.111
writemovie,2019-04-18 22:28:00.111
read client,2019-04-18 22:28:24.817
read client,2019-04-18 22:28:24.833
read client,2019-04-18 22:28:24.848
read client,2019-04-18 22:28:25.235
read client,2019-04-18 22:28:25.345
read client,2019-04-18 22:28:25.36
read client,2019-04-18 22:28:25.36
read client,2019-04-18 22:28:25.593
writemovie,2019-04-18 22:28:25.64
writemovie,2019-04-18 22:28:25.64
writemovie,2019-04-18 22:28:25.655
writemovie,2019-04-18 22:28:25.655
writemovie,2019-04-18 22:28:25.671
writemovie,2019-04-18 22:28:25.692
writemovie,2019-04-18 22:28:25.692
writemovie,2019-04-18 22:28:25.692
read client,2019-04-18 22:28:36.139
read client,2019-04-18 22:28:36.155
read client,2019-04-18 22:28:36.155
read client,2019-04-18 22:28:36.17
read client,2019-04-18 22:28:36.17
read client,2019-04-18 22:28:36.186
read client,2019-04-18 22:28:36.186
read client,2019-04-18 22:28:36.186
writemovie,2019-04-18 22:28:36.202
writemovie,2019-04-18 22:28:36.202
writemovie,2019-04-18 22:28:36.217
writemovie,2019-04-18 22:28:36.217
writemovie,2019-04-18 22:28:36.233
writemovie,2019-04-18 22:28:36.233
writemovie,2019-04-18 22:28:36.264
writemovie,2019-04-18 22:28:36.264
read location,2019-04-19 08:29:10.722
read location,2019-04-19 08:29:10.753
read location,2019-04-19 08:29:10.769
Read an user on: ,2019-04-19 08:33:00.18
Read an user on: ,2019-04-19 08:33:00.196
Read an user on: ,2019-04-19 08:33:00.212
Read an user on: ,2019-04-19 08:33:00.212
Read an user on: ,2019-04-19 08:33:00.227
Read an user on: ,2019-04-19 08:33:00.227
Read an user on: ,2019-04-19 08:33:00.243
Read an user on: ,2019-04-19 08:33:00.258
Wrote an user on :,2019-04-19 08:33:00.274
Wrote an user on :,2019-04-19 08:33:00.29
Wrote an user on :,2019-04-19 08:33:00.29
Wrote an user on :,2019-04-19 08:33:00.29
Wrote an user on :,2019-04-19 08:33:00.368
Wrote an user on :,2019-04-19 08:33:00.383
Wrote an user on :,2019-04-19 08:33:00.415
Wrote an user on :,2019-04-19 08:33:00.43
read location,2019-04-19 08:46:23.672
read location,2019-04-19 08:46:23.695
read location,2019-04-19 08:46:23.7
read location,2019-04-19 08:49:41.312
read location,2019-04-19 08:49:41.334
read location,2019-04-19 08:49:41.342
read location,2019-04-19 08:49:41.35
read location,2019-04-19 08:49:41.44
read location,2019-04-19 08:49:41.447
read location,2019-04-19 08:49:41.457
read location,2019-04-19 08:49:41.526
